Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
MNQH26 (19850621)	Long	2026-02-10  14:09:50.516 BP	2026-02-10  14:11:17.343	25293.25	25291.50	1	4	1	-3.50	-3.50	-3.50	15.50	-3.50	15.50	-3.50	100.0%	0.0%	-18.4%	0.00	25301.00	25291.50	Parent order	1	3	00:01:26	19850621	0.00	-3.50	0.00	-3.50
MNQH26	Long	2026-02-10  14:09:50.677	2026-02-10  14:11:17.343	25293.25	25291.50	1	4	2	-3.50	-7.00	-7.00	31.00	-7.00	15.50	-3.50	100.0%	9.2%	-9.2%	0.00	25301.00	25291.50	Parent order	2	2	00:01:26	19850621	0.00	-7.00	0.00	-7.00
MNQH26	Long	2026-02-10  14:09:50.677	2026-02-10  14:11:17.343	25293.25	25291.50	1	4	3	-3.50	-10.50	-10.50	46.50	-10.50	15.50	-3.50	100.0%	12.3%	-6.1%	0.00	25301.00	25291.50	Parent order	3	1	00:01:26	19850621	0.00	-10.50	0.00	-10.50
MNQH26	Long	2026-02-10  14:09:50.677	2026-02-10  14:11:17.343 EP	25293.25	25291.50	1	4	4	-3.50	-14.00	-14.00 F	62.00	-14.00	15.50	-3.50	100.0%	13.8%	-4.6%	0.00	25301.00	25291.50	Parent order	4	0	00:01:26	19850621	0.00	-14.00	0.00	-14.00
MNQH26	Short	2026-02-10  14:11:26.343 BP	2026-02-10  14:33:45.472	25291.75	25305.00	1	8	1	-26.50	-40.50	-26.50	34.50	-43.00	34.50	-43.00	100.0%	21.3%	-34.2%	0.00	25313.25	25274.50	Parent order	1	7	00:22:19	19850621	0.00	-40.50	0.00	-40.50
MNQH26	Short	2026-02-10  14:11:26.343	2026-02-10  14:33:45.472	25291.75	25305.00	1	8	2	-26.50	-67.00	-53.00	69.00	-86.00	34.50	-43.00	100.0%	38.4%	-17.1%	0.00	25313.25	25274.50	Parent order	2	6	00:22:19	19850621	0.00	-67.00	0.00	-67.00
MNQH26	Short	2026-02-10  14:11:26.343	2026-02-10  14:33:45.472	25291.75	25305.00	1	8	3	-26.50	-93.50	-79.50	103.50	-129.00	34.50	-43.00	100.0%	44.1%	-11.4%	0.00	25313.25	25274.50	Parent order	3	5	00:22:19	19850621	0.00	-93.50	0.00	-93.50
MNQH26	Short	2026-02-10  14:11:26.343	2026-02-10  14:33:45.472	25291.75	25305.00	1	8	4	-26.50	-120.00	-106.00	138.00	-172.00	34.50	-43.00	100.0%	46.9%	-8.5%	0.00	25313.25	25274.50	Parent order	4	4	00:22:19	19850621	0.00	-120.00	0.00	-120.00
MNQH26	Short	2026-02-10  14:23:12.348	2026-02-10  14:33:45.472	25296.75	25305.00	1	8	5	-16.50	-136.50	-122.50	156.50	-205.00	18.50	-33.00	71.8%	52.1%	-4.6%	0.00	25313.25	25287.50	Parent order	5	3	00:10:33	19850621	0.00	-136.50	0.00	-136.50
MNQH26	Short	2026-02-10  14:23:12.348	2026-02-10  14:33:45.472	25296.75	25305.00	1	8	6	-16.50	-153.00	-139.00	175.00	-238.00	18.50	-33.00	71.8%	53.6%	-4.0%	0.00	25313.25	25287.50	Parent order	6	2	00:10:33	19850621	0.00	-153.00	0.00	-153.00
MNQH26	Short	2026-02-10  14:23:12.348	2026-02-10  14:33:45.472	25296.75	25305.00	1	8	7	-16.50	-169.50	-155.50	193.50	-271.00	18.50	-33.00	71.8%	54.8%	-3.6%	0.00	25313.25	25287.50	Parent order	7	1	00:10:33	19850621	0.00	-169.50	0.00	-169.50
MNQH26	Short	2026-02-10  14:23:12.348	2026-02-10  14:33:45.472 EP	25296.75	25305.00	1	8	8	-16.50	-186.00	-172.00 F	212.00	-304.00	18.50	-33.00	71.8%	55.7%	-3.2%	0.00	25313.25	25287.50	Parent order	8	0	00:10:33	19850621	0.00	-186.00	0.00	-186.00
MNQH26	Long	2026-02-23  10:01:09.772 BP	2026-02-23  10:04:12.018	24923.75	24910.75	1	2	1	-26.00	-212.00	-26.00	58.00	-35.50	58.00	-35.50	100.0%	10.2%	-27.8%	0.00	24952.75	24906.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:03:02	19850621	0.00	-212.00	0.00	-212.00
MNQH26	Long	2026-02-23  10:01:09.772	2026-02-23  10:04:12.018 EP	24923.75	24910.75	1	2	2	-26.00	-238.00	-52.00 F	116.00	-71.00	58.00	-35.50	100.0%	24.1%	-13.9%	0.00	24952.75	24906.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:03:02	19850621	0.00	-238.00	0.00	-238.00
MNQH26	Short	2026-02-23  10:08:19.220 BP	2026-02-23  10:10:49.189	24873.25	24891.50	1	2	1	-36.50	-274.50	-36.50	67.50	-36.50	67.50	-36.50	100.0%	0.0%	-35.1%	0.00	24891.50	24839.50	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:02:29	19850621	0.00	-274.50	0.00	-274.50
MNQH26	Short	2026-02-23  10:08:19.220	2026-02-23  10:10:49.189 EP	24873.25	24891.50	1	2	2	-36.50	-311.00	-73.00 F	135.00	-73.00	67.50	-36.50	100.0%	17.5%	-17.5%	0.00	24891.50	24839.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:02:29	19850621	0.00	-311.00	0.00	-311.00
MNQH26	Short	2026-02-23  10:11:32.527 BP	2026-02-23  10:13:25.781	24880.50	24877.25	1	2	1	6.50	-304.50	6.50	35.50	-16.50	35.50	-16.50	100.0%	44.2%	12.5%	0.00	24888.75	24862.75	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:53	19850621	0.00	-311.00	6.50	-311.00
MNQH26	Short	2026-02-23  10:11:32.527	2026-02-23  10:13:25.781 EP	24880.50	24877.25	1	2	2	6.50	-298.00	13.00 F	71.00	-33.00	35.50	-16.50	100.0%	38.0%	6.3%	0.00	24888.75	24862.75	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:01:53	19850621	0.00	-311.00	13.00	-311.00
MNQH26	Long	2026-02-23  10:16:34.611 BP	2026-02-23  10:21:10.523	24882.50	24915.75	1	2	1	66.50	-231.50	66.50	66.50	-21.00	66.50	-21.00	100.0%	100.0%	76.0%	0.00	24915.75	24872.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:04:35	19850621	0.00	-311.00	79.50	-311.00
MNQH26	Long	2026-02-23  10:16:34.611	2026-02-23  10:31:09.486 EP	24882.50	24862.50	1	2	2	-40.00	-271.50	26.50 F	161.00	-61.00	94.50	-40.00	100.0%	9.5%	-18.0%	0.00	24929.75	24862.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:14:34	19850621	0.00	-311.00	79.50	-311.00
MNQH26	Long	2026-02-23  10:32:51.308 BP	2026-02-23  10:34:47.014	24873.75	24854.00	1	2	1	-39.50	-311.00	-39.50	54.00	-39.50	54.00	-39.50	100.0%	0.0%	-42.2%	0.00	24900.75	24854.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:55	19850621	0.00	-311.00	79.50	-311.00
MNQH26	Long	2026-02-23  10:32:51.308	2026-02-23  10:34:47.014 EP	24873.75	24854.00	1	2	2	-39.50	-350.50	-79.00 F	108.00	-79.00	54.00	-39.50	100.0%	21.1%	-21.1%	0.00	24900.75	24854.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:01:55	19850621	0.00	-350.50	79.50	-350.50
MNQH26	Short	2026-02-23  10:38:12.054 BP	2026-02-23  10:52:19.134	24861.75	24801.75	1	2	1	120.00	-230.50	120.00	120.00	-10.00	120.00	-10.00	100.0%	100.0%	92.3%	0.00	24866.75	24801.75	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:14:07	19850621	0.00	-350.50	120.00	-350.50
