Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
MNQH26 (19850621)	Long	2026-03-03  09:36:10.006 BP	2026-03-03  09:37:21.052	24553.75	24606.75	1	2	1	106.00	106.00	106.00	136.50	-32.00	136.50	-32.00	100.0%	81.9%	62.9%	0.00	24622.00	24537.75	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:11	19850621	106.00	0.00	106.00	0.00
MNQH26	Long	2026-03-03  09:36:10.006	2026-03-03  09:42:02.234 EP	24553.75	24557.75	1	2	2	8.00	114.00	114.00 F	351.00	-64.00	214.50	-32.00	100.0%	17.3%	1.9%	0.00	24661.00	24537.75	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:05:52	19850621	114.00	0.00	114.00	0.00
MNQH26	Long	2026-03-03  09:53:22.985 BP	2026-03-03  09:54:09.615	24552.75	24532.75	1	4	1	-40.00	74.00	-40.00	12.50	-40.00	12.50	-40.00	100.0%	0.0%	-76.2%	0.00	24559.00	24532.75	20_pts_SL_40_60_pts_TP.twconfig	1	3	00:00:46	19850621	114.00	0.00	114.00	-40.00
MNQH26	Long	2026-03-03  09:53:22.985	2026-03-03  09:54:09.615	24552.75	24532.75	1	4	2	-40.00	34.00	-80.00	25.00	-80.00	12.50	-40.00	100.0%	38.1%	-38.1%	0.00	24559.00	24532.75	20_pts_SL_40_60_pts_TP.twconfig	2	2	00:00:46	19850621	114.00	0.00	114.00	-80.00
MNQH26	Long	2026-03-03  09:53:23.287	2026-03-03  09:54:09.891	24551.75	24532.25	1	4	3	-39.00	-5.00	-119.00	39.50	-119.00	14.50	-39.00	100.0%	50.5%	-24.6%	0.00	24559.00	24532.25	20_pts_SL_40_60_pts_TP.twconfig	3	1	00:00:46	19850621	114.00	-5.00	114.00	-119.00
MNQH26	Long	2026-03-03  09:53:23.287	2026-03-03  09:54:09.891 EP	24551.75	24532.25	1	4	4	-39.00	-44.00	-158.00 F	54.00	-158.00	14.50	-39.00	100.0%	56.1%	-18.4%	0.00	24559.00	24532.25	20_pts_SL_40_60_pts_TP.twconfig	4	0	00:00:46	19850621	114.00	-44.00	114.00	-158.00
MNQH26	Long	2026-03-03  09:55:00.236 BP	2026-03-03  09:55:03.373	24546.00	24526.00	1	2	1	-40.00	-84.00	-40.00	0.00	-40.00	0.00	-40.00	100.0%	0.0%	-100.0%	0.00	24546.00	24526.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:00:03	19850621	114.00	-84.00	114.00	-198.00
MNQH26	Long	2026-03-03  09:55:00.236	2026-03-03  09:55:03.373 EP	24546.00	24526.00	1	2	2	-40.00	-124.00	-80.00 F	0.00	-80.00	0.00	-40.00	100.0%	50.0%	-50.0%	0.00	24546.00	24526.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:00:03	19850621	114.00	-124.00	114.00	-238.00
MNQH26	Long	2026-03-03  10:09:16.869 BP	2026-03-03  10:10:01.098	24513.25	24493.25	1	2	1	-40.00	-164.00	-40.00	16.50	-40.00	16.50	-40.00	100.0%	0.0%	-70.8%	0.00	24521.50	24493.25	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:00:44	19850621	114.00	-164.00	114.00	-278.00
MNQH26	Long	2026-03-03  10:09:16.869	2026-03-03  10:10:01.098 EP	24513.25	24493.25	1	2	2	-40.00	-204.00	-80.00 F	33.00	-80.00	16.50	-40.00	100.0%	35.4%	-35.4%	0.00	24521.50	24493.25	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:00:44	19850621	114.00	-204.00	114.00	-318.00
