Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
MNQH26 (19850621)	Long	2026-02-27  09:48:04.014 BP	2026-02-27  09:49:13.316	24892.25	24932.25	1	2	1	80.00	80.00	80.00	80.00	-34.00	80.00	-34.00	100.0%	100.0%	70.2%	0.00	24932.25	24875.25	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:09	19850621	80.00	0.00	80.00	0.00
MNQH26	Long	2026-02-27  09:48:04.014	2026-02-27  09:54:18.322 EP	24892.25	24873.50	1	2	2	-37.50	42.50	42.50 F	173.00	-71.50	93.00	-37.50	100.0%	13.9%	-15.3%	0.00	24938.75	24873.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:06:14	19850621	80.00	0.00	80.00	-37.50
MNQH26	Long	2026-02-27  09:56:35.336 BP	2026-02-27  09:56:40.110	24873.25	24856.75	1	2	1	-33.00	9.50	-33.00	2.00	-33.00	2.00	-33.00	100.0%	0.0%	-94.3%	0.00	24874.25	24856.75	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:00:04	19850621	80.00	0.00	80.00	-70.50
MNQH26	Long	2026-02-27  09:56:35.336	2026-02-27  09:56:40.110 EP	24873.25	24856.75	1	2	2	-33.00	-23.50	-66.00 F	4.00	-66.00	2.00	-33.00	100.0%	47.1%	-47.1%	0.00	24874.25	24856.75	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:00:04	19850621	80.00	-23.50	80.00	-103.50
MNQH26	Long	2026-02-27  09:57:06.799 BP	2026-02-27  10:01:22.068	24880.50	24929.75	1	2	1	98.50	75.00	98.50	98.50	-39.00	98.50	-39.00	100.0%	100.0%	71.6%	0.00	24929.75	24861.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:04:15	19850621	80.00	-23.50	98.50	-103.50
MNQH26	Long	2026-02-27  09:57:06.799	2026-02-27  10:24:39.839 EP	24880.50	24995.25	1	2	2	229.50	304.50	328.00 F	328.00	-78.00	229.50	-39.00	100.0%	75.7%	56.5%	0.00	24995.25	24861.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:27:33	19850621	304.50	-23.50	328.00	-103.50
MNQH26	Long	2026-03-02  09:34:10.461 BP	2026-03-02  09:37:05.702	24808.50	24868.75	1	2	1	120.50	425.00	120.50	120.50	-34.00	120.50	-34.00	100.0%	100.0%	78.0%	0.00	24868.75	24791.50	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:02:55	19850621	425.00	-23.50	448.50	-103.50
MNQH26	Long	2026-03-02  09:34:10.461	2026-03-02  09:56:23.911 EP	24808.50	24825.75	1	2	2	34.50	459.50	155.00 F	301.50	-68.00	181.00	-34.00	100.0%	27.7%	9.3%	0.00	24899.00	24791.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:22:13	19850621	459.50	-23.50	483.00	-103.50
MNQH26	Long	2026-03-02  10:08:56.832 BP	2026-03-02  10:09:06.169	24919.00	24899.00	1	2	1	-40.00	419.50	-40.00	4.50	-40.00	4.50	-40.00	100.0%	0.0%	-89.9%	0.00	24921.25	24899.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:00:09	19850621	459.50	-23.50	483.00	-103.50
MNQH26	Long	2026-03-02  10:08:56.832	2026-03-02  10:09:06.169 EP	24919.00	24899.00	1	2	2	-40.00	379.50	-80.00 F	9.00	-80.00	4.50	-40.00	100.0%	44.9%	-44.9%	0.00	24921.25	24899.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:00:09	19850621	459.50	-23.50	483.00	-103.50
MNQH26	Short	2026-03-02  10:35:37.489 BP	2026-03-02  10:37:20.702	24860.25	24880.00	1	2	1	-39.50	340.00	-39.50	36.50	-39.50	36.50	-39.50	100.0%	0.0%	-52.0%	0.00	24880.00	24842.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:43	19850621	459.50	-23.50	483.00	-119.50
MNQH26	Short	2026-03-02  10:35:37.489	2026-03-02  10:37:20.702 EP	24860.25	24880.00	1	2	2	-39.50	300.50	-79.00 F	73.00	-79.00	36.50	-39.50	100.0%	26.0%	-26.0%	0.00	24880.00	24842.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:01:43	19850621	459.50	-23.50	483.00	-159.00
MNQH26	Long	2026-03-02  10:55:47.930 BP	2026-03-02  10:59:26.998	24895.25	24923.75	1	2	1	57.00	357.50	57.00	75.00	-0.50	75.00	-0.50	100.0%	76.2%	75.5%	0.00	24932.75	24895.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:03:39	19850621	459.50	-23.50	483.00	-159.00
MNQH26	Long	2026-03-02  10:55:47.930	2026-03-02  11:01:08.064 EP	24895.25	24895.50	1	2	2	0.50	358.00	57.50 F	150.00	-1.00	75.00	-0.50	100.0%	1.0%	0.3%	0.00	24932.75	24895.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:05:20	19850621	459.50	-23.50	483.00	-159.00
									Total: 358.00																					
